[2025-03-02 22:44:51] Application started.
[2025-03-02 23:48:16] Pointer1 address: 0x000000007B283280
[2025-03-02 23:48:16] Pointer111 address: 0x0000000A00000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000007B2831E0
[2025-03-02 23:48:16] Pointer111 address: 0x0000001600000001
[2025-03-02 23:48:16] Pointer1 address: 0x000000007B283140
[2025-03-02 23:48:16] Pointer111 address: 0x0000001F00000001
[2025-03-02 23:49:51] Application started.
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:49:54] Pointer2 address: 0x0000000043156B30
[2025-03-02 23:49:54] Pointer3 address: 0x0000002D00000001
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CDD8A0
[2025-03-02 23:49:54] Pointer2 address: 0x000000002B5999A4
[2025-03-02 23:49:54] Pointer3 address: 0x0000000A00000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C4326B4
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:49:54] Pointer2 address: 0x000000003D7035EC
[2025-03-02 23:49:54] Pointer3 address: 0x0000000B00000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250F200
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C43273C
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C432780
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C4326F8
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:49:54] Pointer2 address: 0x000000003D6B2604
[2025-03-02 23:49:54] Pointer3 address: 0x0000000B00000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C432780
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:49:54] Pointer2 address: 0x000000003ADC7CD8
[2025-03-02 23:49:54] Pointer3 address: 0x0000001400000001
[2025-03-02 23:49:54] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:49:54] Pointer2 address: 0x0000000041C856B0
[2025-03-02 23:49:54] Pointer3 address: 0x0000003B00000001
[2025-03-02 23:49:54] Pointer1 address: 0x000000002250FD80
[2025-03-02 23:49:54] Pointer2 address: 0x000000001C432780
[2025-03-02 23:49:54] Pointer3 address: 0x0000000000000001
